I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,I am a happy go lucky person.  I like to joke around with others and have a good time.  I am a pretty outgoing person that likes to meet new people and try new things.  I love to learn new things especially if had to do with technology.    I am a care-giver and will help out others if they are in need.  I like speding time with my family and my dogs when I have time off.
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,I am an easy going laid back person and I think that I am a person who is sensitive and compassionate. I am tender hearted and I am very emotional. I look for the good in others and have a positive outlook and feel like I try to be a champion and a cheerleader for others. I always try to encourage others and build them up. I am also quiet and introspective when it comes to my outlook on life. I am a person who enjoys solitude and am an introvert.
Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,"I am very simple man. who loves his family very much. My some of the friends and my attached one are my life... In my life there is so many important persons but few are so important without whom a single day is very difficult.... Such persons in my life are my mom, dad and my best brother. and my friends and relatives. "
Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,"i  am very simple girl who loves her family very much.My some of the friends and my attached one are my life... In my life there is so many important persons but few are so important without whom a single day is very difficult.... Such persons in my life are my mom, dad and my best brother."
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,"I am person with full of energy and positive attitude. Honesty always rewarded and I am having strong belief in that concept. I am trying to be honest in each and every walk of my life. I am a hard worker and will be sincere in any activity that I will do. I am a self motivator and I am strongly believing that, I could do anything if I try my level best. I am having never give up attitude. Love others and be loved by others."
Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"I am a trustworthy, honest, and humble person. I am very meticulous with my work and I work very hard. I love to be sociable and I am described as a calm and relax person. I would like to think my personality is the same always but to be honest"
Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,"I think I'm a pretty even person. I don't like being the center of attention, but I also don't hide in the background. I'm very empathetic to the needs of others, but I don't think I internalize other people's emotions. I tend to be the person that doesn't get upset easily. However, when I do get upset, it's not a good thing. Generally speaking, I'm a live and let live type of person. "
Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,"My personality is calm, but sometimes depressed. I like order in places I visit, yet can never keep my own things in order. I am not easily hurt or offended, and I don't get mad that easily. I will fight for what I feel is right, and I believe that a fight should be fair, unless the premise of the fight was never fair. I love hard, and I dislike some people and things intensely. "
Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,"I am creative and interested in different areas. I like reading, art, music and movies. I enjoy playing outdoor sports. I like cooking and beautiful places. I like to know about different cultures. I believe in working hard and being honest. I believe people should be kind and sincere. I dislike fraudulent and selfish people. I try to keep myself away from gossip and manipulative people. I enjoy family life. I am also ambitious and work towards setting goals and fulfilling responsibility. I also love animals."
Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,I am a bit of an introvert and love to spend time alone.  I like to spend time learning new things and pondering ideas.  I am quiet around strangers but I can be rather talkative when I warm up to some people.  I tend to be a kinesthetic person and like physical activity especially fitness or martial arts.
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,"I am a man who goes out and works some, try to make some money. I am also a man that is very outgoing. I makes friends all over in my community. I do my best to build community relationships. I am the former President of my men's group. I care about traditional values and do my best to look after everyone around me. I am an alpha male. Individuals enjoy interacting with me and I enjoy interacting with them and building new relationships. I am a smart man who gives a fuck and who enjoys doing what I do."
Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,"i feel like overall i am pretty normal person, I work and like to spend time with my family. I am pretty laid back and try to let things not get to me. i am always open minded"
Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,I am a smiley person and take care others and soft hearted person. I always do my job in order. I take more to complete my jobs  perfectly. I give important to finish my works in proper manner. I like arrange in orders. I like neat and clean. I interest in nature. I want to treat all people in same manner. I hate inequality.
Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,"I can say that I am completely extrovert. I like to socialize with people and meet new people and discuss about opportunities. I like to adjust with other people and agree about their attitudes and behaviors. I like to be in harmony with other people. I am a very honest and hardworking person. I like to do my work with complete effort and put my entire effort inn my work. At the same time I am a very emotional person. I get carried away by emotions very much fast. I am also very much open to new experiences. I am down to earth person and love simplicity.
"
Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,I am always do my work properly.I don't kurt other people if i have any idea i will deal other very smoothly. I never force my thought and idea to other people. i will hear them what they says. I will respect other feelings. I will adopt to the situation. If any body cross their limit i will burst and angry. but i won't too much i will keep distance from them.
Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,"I don't really know how to describe it well. I guess I'd say overall I'm fairly introverted, I just like to keep to myself and not concern myself with other people all that much except in very specific times when I agree to spend time with specific people. Otherwise, I'm just private. I definitely prefer to work alone and prefer my own company, most of the time at least. I keep things orderly and tidy and etc. Not sure what else to add."
Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,I make sure i have the good habits  which including respecting all the people . when i meet new people is very wonderful feeling . Knowledge is very important for every human in our life. The every promises is very important .Honor is another aspect of my personality.I believe these aspects will help me in achieving in my objects in my life.  
Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,i have a cool hearted person and i feel emotion on other persons feelings and i have to do not get easily disturbed and i have a lot of ideas and i have to used more difficult words but all the people can understand my words.
