I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,I'm someone who tends to keep to themselves most of the time. I'm pretty shy and don't really enjoy social gatherings with people I don't know. I rather stay home than go out to a party and bar. I'm pretty easy to get along with and tend to go with the flow. I tend to avoid conflict and try to keep thing running smoothly. I'm someone who instead of boasting about myself lets my work performance do the talking. I can deal with a little bit of mess but when things are too disorganized it really bothers me and frustrates me.  I see myself as someone who is pretty anxious but mostly in social situations. Overall my mood is fairly stable and consistent. I don't really have any emotional swings. I tend to be logical and straightforward. I enjoy learning new things as long as it doesn't take me too far out of my comfort zone. 
Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,"I like to end up working by myself and not in a group because I do better that way and others only distract me in what I'm doing. When I see something and don't agree with it, I just end up saying it like I see things and don't like holding it inside. I like being honest and telling it like it is and not just keeping things inside to make me mad and hold in my feelings. I'm not too emotional, I would say boarder line, I try to keep things inside but sometimes I can't help it. I don't like to experience new things and like to stick with what I know works and it just fits me a lot better."
Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,"I like to work by myself and not have to worry about others and I'm normally polite to people. I try to be nice and considerate to everyone to not give them a reason to be mad or anything. I don't always tell the truth because I don't want to end up getting yelled at. I know that sometimes I will end up getting caught for it, but I still do it and then start an argument that I was right, even though I know that I wasn't. I'm hardworking at work, but not at home, my wife ends up doing most of the things at home that needs done. I end up getting stressed out a lot and I'm not always emotionally stable, I'm pretty moody at times. I'm pretty creative when it comes to some thing, but I do like routine and hate when it gets messed up."
Neutral,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,"I TEND TO BE INTROVERTED BUT AM VERY SOCIAL. I ENJOY PEOPLE BUT DONT NEED CONSTANT ATTENTION. I AM VERY FLEXIBLE AND ADAPTIVE AND GET ALONG WELL WITH OTHERS. I AM DILIGENT AND APPRECIATE ORDER AND MYSELF AND OTHERS FOLLOWING RULES. I AM A VERY STABLE, RESPONSIBLE PERSON WHO IS KIND,SMART, WITH A SENSE OF HUMOR. I AM DOWN TO EARTH, BUT I  AM ALSO VERY CURIOUS."
Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,I feel that I have a good heart and seeking to be good human being and to be helpful to all creations. I always wanted to work hard and improve my skills in my professional as it give me confidence to overcome all obstacles.I like that I am connected to a God who loves me no matter what trauma and abuse I have gone through. The unconditional love of the universe supports me in all things.I wanted to be cool in most ways and eagerly wanted to  initiate a startup which provides the solution to the problem the earth and people are facing.
Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,"As a person that loves to keep to myself, I am at my highest and best possible self when I am able to spend time alone, without any person in my area or location. Even though I am not the most outgoing guy around, it feels good to be cooperative and helpful with other people. Assisting them to better their lives, always good to be thinking of others in a positive  way, then showing them with my actions how I care. As a relaxed kind person, I also enjoy adventures to new places, dealing with people from different cultures."
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I am very open when it comes to my personality. I am a talker. I am also an emotional person because I care about others and have been through a lot in life. I am very hardworking and honest. I need to feel appreciated. I like to talk to people and to feel loved by others. 
Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,"In a way, I know about what I like and what I dislike, but there are circumstances that could affect how I have been living. There are ongoing personal issues and certain obstacles that I have been dealing with and will continue to deal with. Regardless of what I am and what I have been, I consider myself a work in progress. I think of it this way because I want to have certain traits, but I just don't have the talent or have not had opportunities to show what I would like to have. 

For example, I like to be adventurous, but I have not been to many places. Financial obstacles and ongoing personal issues have prevented me to have travel opportunities. 
Another example has to do with order. Order and organization have been part of what I have been raised, but sometimes I care less about what my family would think of my room and my place. 

"
Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,I AM ALWYS OPEN TO EXPLORE NEW THINGS AND GET EXPERIENCE FROM THE OUTSIDE WORLD.I CORRECT MY MISTAKES AFTER EXXPERIENCING NEW THINGS.I AM OPEN TO TRAVEL TO DIFFERENT PARTS OF THE WORLD AND EXXPLORE THINGS
Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,"Parties have always been tough for me. I get overwhelmed with too many people around. Gatherings exhaust me and I will seek breaks, like going outside for awhile or even just going to the ladies room to get away from people. I can keep myself amused I don't need people around every day. I enjoy a few close friends. I prefer socializing with one or two other people the most.

I always thought my small town friendliness was from just that, being from a small town. But I can see how I tend to be polite and caring of those around me. I will go with the flow and not insist on something being done my way. I think group harmony is important.

I've always been the person people can count on. I am very reliable and like to follow the rules. I don't need to have thrills like a lot of people do. I am just fine with doing things the way they ought to be done. I like to do things right and be proud of my work.

I have a pretty stable mood, at least on the outside, people think I am cool and calm. The older I get the less and less things bother me.  I don't stress over the small things of life, like waiting in line, things getting screwed up.

I am curious to a point, but for the most part I crave routine."
Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,"I am primarily a loner. I love my family and the few friends I have, but I need alone time.
I am intelligent and pride myself on my wide range of knowledge. I love reading, have since I was a child. I like having a schedule to follow and enjoy ticking off the things I have accomplished. I do my best at my job and have a strong work ethic, but primarily get more done when I work alone. I enjoy daydreaming and planning vacations. It is easy for me to get stressed out and blue, and when I do, it is hard for me to think anything but negative thoughts. I can be moody but snap out of it fairly quickly."
Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,"I was taught at an early age to help those around me, it is a large part of who I am. While I like things to go smoothly I am not one to do something just to make someone else happy if I feel it goes against my personal beliefs. I love the jobs I do. I never mind getting right down to work  and working a long time for a goal or work project. I don't get stress out very easily but I do cry at movies or when I hear something sad. When someone is leaving and will be gone a long time I will cry. I also cry when I am happy. I like learning new things and I believe everyone has the right to live their life the way they want as long as it is not harmful to others. I love nature."
Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,"I have an idiosyncratic personality and am massively quirky. I work hard at managing my anxiety, my compulsions, my obsessions my friends say im weird, unique, creative, outgoing and friendly. i am a social butterfly, i can make friends everywhere, even in the bathroom. my ideas are very unique. i like people who love their parents and are good to them. i can get along with everyone Well, others describe my personality different. How about y’all describe my personality Everybody likes me even though they have no reason to. I'm a charmer.
Most would call me funny or smartWhen I becoming one with my activitating I am possiblity to be the loving that you areAs our entities disappear into the felt Rhythm that we are sharingAs I live by the notion of that maybe that what we ought to do is let go surrender to not struggling allowing our bodies to do what they naturally do, so we notice that we naturally float"
